id,People,Sales,prices,Expenses,Profit,Demand,Supply
1,250,200000,800,5000,195000,300,200
2,10000,10000000,1000,50000,9950000,50000,30000
3,20000,30000000,1500,40000,29960000,60000,40000
4,60000,36000000,600,30000,35970000,40000,20000
5,80000,40000000,500,10000,39990000,700,500
6,70000,140000000,2000,15000,139985000,10000,6000
7,40000,28000000,700,7000,27993000,5000,4500
8,30000,36000000,1200,5000,35995000,2000,1500
9,15000,12000000,800,3000,11997000,20000,25000
10,45000,18000000,400,2000,17998000,40000,50000
11,65000,162500000,2500,5000,162495000,30000,10000
